node_id,geometry
4290,POINT (108.84059274796762 34.20380728755708)
7449,POINT (108.83996876020116 34.20398312458892)
19893,POINT (108.8410333043887 34.20538952458989)
22765,POINT (108.8396462868452 34.20358068920948)
29974,POINT (108.84304743483109 34.20477124733548)
31762,POINT (108.84007099594207 34.20303962600771)
34152,POINT (108.84337595161946 34.20450390550994)
44441,POINT (108.8435151462407 34.204686083275455)
63637,POINT (108.8415703783543 34.20233450491169)
68869,POINT (108.842021912175 34.20431362229388)
82793,POINT (108.84178453991281 34.204420171642816)
91199,POINT (108.84129068661863 34.20558291058989)
92706,POINT (108.84207500541686 34.2041637658475)
118381,POINT (108.84208596575294 34.20486654570958)
122487,POINT (108.84210722600966 34.20202954576994)
124862,POINT (108.83952308374874 34.20369843029777)
145105,POINT (108.84239758378014 34.20309169152201)
166381,POINT (108.84139277469502 34.20644679433629)
169462,POINT (108.84160833213731 34.20363712972413)
170508,POINT (108.841425074665 34.203330912749905)
177594,POINT (108.84176365682967 34.202564765029564)
181808,POINT (108.84049555540867 34.20432194107051)
191714,POINT (108.84048418194278 34.208751404812496)
198856,POINT (108.84627615033686 34.205495498912406)
199563,POINT (108.84081270761097 34.208564048548254)
